Mes;Apertura;Entradas TINA;TINA procesada;Salidas CAJA;Cierre
01/01/2026;0,00;571996,04;379157,00;446162,12;192839,04
01/02/2026;192839,04;610984,71;360913,00;421908,79;442910,75
